entry	nb
13231568	1
2714038	1
20452598	1
2880038	1
22193838	1
24388	1
787508	1
12890378	1
2362748	1
9758178	1
11475908	1
3496968	1
18662308	1
14904868	1
15861848	1
23578748	1
3300098	1
7475178	1
4596478	1
16309598	1
9335088	1
13709768	1
15642418	1
3588378	1
1304718	1
8399378	1
15599208	1
7458378	1
15961068	1
3219398	1
3159998	1
8210898	1
8064598	1
14078678	1
2721528	1
8235778	1
2513868	1
8199898	1
23191058	1
5601538	1
5681438	1
556718	1
3345918	1
8124758	1
4130568	1
13586268	1
1504598	1
4684188	1
15850888	1
6500588	1
653698	1
7035418	1
8053468	1
1644538	1
7300258	1
3376358	1
13184708	1
4608798	1
3637848	1
192698	1
13401018	1
5682158	1
6388448	1
12890598	1
5848998	1
1203188	1
7784668	1
13577438	1
4429018	1
18028	1
7269578	1
2306778	1
240938	1
6958978	1
5601518	1
20028	1
6377738	1
2939728	1
14002408	1
8765548	1
3205058	1
8710968	1
4013808	1
13314478	1
15961548	1
8125628	1
437368	1
257318	1
9030048	1
3205018	1
6575168	1
15005338	1
313268	1
4455998	1
5618358	1
4894458	1
2501908	1
4909018	1
4909178	1
12683808	1
3422018	1
2795398	1
3112448	1
2754238	1
4130608	1
10101688	1
8187708	1
5442408	1
5955838	1
5735458	1
6463578	1
6971668	1
1699498	1
15737808	1
6083418	1
3986608	1
15883848	1
7615408	1
4534548	1
112198	1
10608	1
15672468	1
17293498	1
8202698	1
419268	1
9848	1
2863818	1
4345318	1
19924578	1
6293058	1
7905458	1
15002778	1
2854608	1
4017948	1
6293178	1
4959828	1
4960188	1
5827248	1
15048	1
7082098	1
12048	1
9210228	1
2587168	1
1304798	1
4133978	1
8105218	1
4998388	1
19716918	1
6793978	1
3376298	1
9503118	1
2930098	1
4197078	1
3234548	1
7497478	1
20082488	1
13665608	1
7457888	1
7243078	1
7517738	1
4429308	1
456698	1
10688848	1
14216328	1
3986588	1
17275508	1
4532708	1
3321678	1
8244598	1
8357658	1
15737668	1
5118068	1
4677578	1
2856328	1
8126428	1
1205768	1
2570838	1
1412828	1
3333718	1
1508858	1
1771688	1
8124638	1
3936078	1
3974728	1
6731848	1
17326918	1
19924838	1
4455878	1
5597788	1
6442758	1
15672448	1
16874348	1
7549808	1
4580478	1
2610898	1
3745238	1
4422558	1
325168	1
17388	1
112858	1
24008	1
14134268	1
7568708	1
6456198	1
1862128	1
793078	1
1419568	1
12890518	1
15679848	1
6313868	1
1138038	1
8202418	1
3728278	1
13605438	1
13706678	1
